batch,gen_passage_id,seed_passage_id,novel,meaningful,pragmatic,annotator_id,gen_source,ppl,WQRM_score,ai_likelihood
5,12011_human,12011,0,1,1,1,human,4354.71217117088,8.37365436553955,0.0007745954725477
8,1305_human,1305,0,1,1,6,human,1077586.483927638,8.738544464111328,3.195471233791775e-05
3,16316_olmo1,16316,0,1,1,7,olmo1,34381.19940427826,7.247693061828613,1.0
9,13316_human,13316,0,1,1,8,human,46498.924846342736,8.67484188079834,9.311570061577692e-05
9,13316_human,13316,0,1,1,8,human,16672.768786137112,8.67484188079834,9.311570061577692e-05
5,12838_human,12838,0,1,1,17,human,7022.18398887454,8.597100257873535,3.7087334526909726e-06
10,4440_olmo2,4440,0,1,1,11,olmo2,175237.7895943577,6.479419708251953,1.0
3,16425_human,16425,1,1,1,25,human,5067.88091392696,8.494684219360352,4.900826348198785e-06
4,16641_human,16641,0,1,1,3,human,498342.3460255988,8.882264137268066,1.7053551144070097e-05
8,14319_human,14319,0,1,1,5,human,4156.864549802307,8.155810356140137,0.000305970509847
10,12432_human,12432,0,1,1,11,human,3486.1897035581387,8.863977432250977,3.168980280558269e-05
8,11680_olmo2,11680,1,1,1,6,olmo2,4677.311671962933,5.7674479484558105,1.0
5,4796_olmo1,4796,0,1,1,17,olmo1,12148.97411201326,7.5454020500183105,1.0
1,18037_olmo1,18037,0,1,1,9,olmo1,214.0849352420857,6.650257587432861,1.0
8,706_olmo2,706,0,1,1,6,olmo2,6905.613999846033,6.618142127990723,1.0
10,4440_olmo2,4440,1,1,1,12,olmo2,31628.059627617826,6.479419708251953,1.0
3,16425_human,16425,0,1,1,7,human,2723.026245037227,8.494684219360352,4.900826348198785e-06
4,13191_human,13191,0,1,1,3,human,45163.18179823649,8.75667953491211,9.258588155110678e-05
6,12838_olmo2,12838,0,1,1,3,olmo2,1712.695512425832,6.194787979125977,1.0
10,13061_human,13061,0,1,1,11,human,1222.1868983068598,8.668344497680664,1.3278590308295356e-05
3,13365_human,13365,0,1,1,23,human,1306.8791351832165,8.978217124938965,1.466936535305447e-05
7,11601_human,11601,0,1,1,2,human,12278.620978944811,8.954913139343262,0.0004466374715169
9,3619_olmo2,3619,1,1,1,16,olmo2,6767.71394100393,6.876827239990234,1.0
1,17745_olmo1,17745,0,1,0,21,olmo1,1299792.982631829,5.554755210876465,1.0
8,2421_human,2421,0,1,1,6,human,33859.66395333489,8.464613914489746,2.2815333472357856e-05
2,18090_human,18090,0,1,0,10,human,1350.550872199711,8.725266456604004,0.0068579779730902
6,4796_human,4796,1,1,1,3,human,13717.610294202706,7.986728668212891,0.013427734375
9,12432_olmo2,12432,0,1,1,8,olmo2,1460.186490028231,6.178188800811768,1.0
5,4796_olmo1,4796,0,1,0,4,olmo1,48715.24288211025,7.5454020500183105,1.0
5,8444_human,8444,0,1,1,17,human,1301.5424134036848,8.483384132385254,1.529852549235026e-05
9,12432_olmo2,12432,0,1,1,23,olmo2,6558.63200633638,6.178188800811768,1.0
1,18137_human,18137,1,1,1,9,human,198016.05590552572,8.988323211669922,3.32792599995931e-05
9,13263_human,13263,0,1,1,23,human,145967.80908072737,8.638532638549805,9.70231162177192e-05
2,18090_human,18090,0,1,1,15,human,110492.20446699802,8.725266456604004,0.0068579779730902
1,18090_olmo1,18090,0,1,1,21,olmo1,941.0387819811444,6.452146530151367,1.0
6,8444_olmo2,8444,0,1,1,3,olmo2,2943.8703402104165,6.932831287384033,1.0
4,15471_human,15471,0,1,1,26,human,28209.73644056484,8.66585636138916,7.616149054633247e-05
2,18137_olmo1,18137,0,1,1,15,olmo1,13178.48605324422,4.510998249053955,1.0
